pair_id	topic	relation	argument1	argument2	source_arg_1	source_arg_2
0405	unemployment	attack	One will never learn from my opponent that employment declined less than seasonally last month and that unemployment went down more than seasonally . Unemployment dropped not only as to number but also as a percentage of the labor force . His pessimistic talk today recalls to my mind the situation in 1953 when the Eisenhower administration assumed responsibility for the Nation 's affairs .	And unemployment is not insignificant to the Democratic Party - which has always pursued a policy of full employment - which has never said that there  must be some unemployment  and which is going to see that there are jobs for all Americans in the sixties . In fact , unemployment is only insignificant to Mr. Nixon and a Republican Party which has opposed every Democratic effort to put men back to work in the past 8 years - which has complacently stood by while unemployment rose from less than 2 million in 1952 to 4 million today and while Michigan lost more than 100,000 jobs despite an expanding population . For I believe that the American people are going to reject a party which - again in Mr. Nixon 's words - believes that  unemployment is inevitable ,  a party which lacks faith in the capacity of a strong and growing America to provide jobs for all its people , a party which , in the most fundamental sense , is letting America run down because it is failing to build America up , a party whose candidate is all too ready to threaten war but is unwilling to build up the strength which is the only guarantee of peace , who is always willing to speak loudly , but is unwilling to be sure that America carries a big stick .	Nixon_October_19_1960	Kennedy_October_14_1960
0406	medical care,health care	attack	And I do n't blame Mr. Nixon for trying to forget the record of a party which has opposed virtually every single Democratic measure designed to improve human welfare in this century , a party which has not initiated a single piece of forward looking social legislation since the time of William Howard Taft . Mr. Nixon did not ignore party affiliations between elections , when he led the Republican opposition to increased minimum wages , medical care for the aged , aid to education , help for distressed areas , and all the rest and the American people are not going to ignore Mr. Nixon 's party affiliation next week . The third Nixon theme is an attack on the policies of the Democratic Party .	They do n't care , and I 'll prove it . We have a bill which does it the American way , not one that would have compulsory health insurance that would reduce the standard of medical care , that would compel millions of people who do n't want it and did n't need it to have it , but , one , a bill in which every American over 65 who wanted health insurance can get it , either private or Government , but in which no one in this country is compelled to have it against his will . That 's the American way of handling this problem .	Kennedy_October_30_1960	Nixon_October_29_1960
0407	minimum wage	attack	The principles for which Dwight Eisenhower and I have fought and will continue to fight are the ideals not only of Republicans but of Democrats as well . All through the campaign my opponent has been trumpeting the falsehood that I , in effect , feast on human misery - that I oppose minimum wage , help to distressed areas , social security , medical care for the aged , and all else that concerns the good of the American people . Last week Mr. Kennedy called me the leader of the social security wrecking crew - trying to secure votes from the aged by playing on their fears .	Mr. Nixon voted against it , every single time , and I voted for it . Minimum wage - I see some signs waved around by great supportcrs of Mr. Nixon . I want to ask them three questions .	Nixon_November_3_1960	Kennedy_October_31_1960
0408	medical care,health care	attack	Now , what does this mean ? This means that we do want progress in this country , and want it to increase , but , my friends , the way to get it is to recognize that the engine of progress in the United States is not the Federal Government , but 180 million free individual Americans inspired by Government . Our opponents say they want progress and they 'll produce it , but you know how they say they 're going to get it ? They 're going to set up a huge new Government program in everything , whether its medical care or schools or housing or anything else , turn it over to the Federal Government , and they say this proves they care more for progress , that they will produce more . But , my friends , the record shows they 're wrong , because those are the same policies we found under Mr. Truman .	Every administration and every 3 or 4 years , this country has to recognize that we must move ahead . So there is one set of opportunities which will be open to the next President and the next Congress , minimum wage of $ 1.25 an hour , medical care for the aged tied to social security , aid to education , stimulation of housing , urban renewal . These are all programs which have been part of our life for a great many years , really since Franklin Roosevelt 's first administration .	Nixon_October_15_1960	Kennedy_October_15_1960
0409	medical care,health care	no_relation	This is a contest between a party which says  No  to the next decade and a party which says  Yes  as it has in so many years of our history . As long as there are millions of Americans who live in substandard housing as long as there are millions of our older citizens who wait out their lives with an income of less than $ 20 a week , without hope of good housing or medical care in their old age , as long as there are children in this country who go to school on a part-time basis , with teachers inadequately compensated , as long as there is unfinished business in this country , so long is their need for the Democratic Party , and there is need for the Democratic Party today . [ Applause .	This need , still unmet , requires priority attention by the next Congress . The program must be a voluntary one , avoiding compulsory medical care as well as compulsory participation in medical care programs . It would support rather than discourage private medical insurance efforts .	Kennedy_September_15_1960	Nixon_September_14_1960
0411	medical care,health care	no_relation	That 's what the program will buy for you . A compulsory medical care program - and I will have more to say about that in a moment . A teachers ' program , an education program , which differs from ours in this fundamental : It would take our teachers and put them directly under the Federal Government as far as subsidization of their salaries is concerned , and the net result of that would give the inevitable power to the Federal Government to tell our teachers what to teach - and we do n't want that in Washington .	in the first place , we have our responsibilities toward our people in this country , toward the 15 million Americans over the age of 65 who live on an average social security check of less than $ 78 a month . And yet this administration has refused to provide medical care for the aged tied to social security in the same way as they opposed social security itself 25 years ago . But in this area , and in minimum wage and in housing and in social justice , we move in the tradition of Franklin Roosevelt .	Nixon_October_18_1960	Kennedy_October_17_1960
0412	disarmament	attack	I think that we have many arms in the arsenal , and one of course is that , and we should keep that second to none . Secondly , I hope that we can try to work out with our adversaries , the Communists , a realistic system with inspection for the lessening of arms tension , for the cessation of nuclear tests and for the beginning of disarmament , and lift that heavy burden from us all . Thirdly , I think that we should assist those countries to the south of us who are attempting to solve their staggering economic problems and help them join with us .	Why is it that you stand against the proposals for disarmament that are made by Mr. Khrushchev ? Why is it that we ca n't go more than halfway on these proposals and take some of them on faith ?  I want to tell you why we ca n't . Because if the United States ever enters into a disarmament agreement with the Soviet or with any other potential aggressor which they might break and which we would keep , that would increase the danger of war rather than reduce it and that we must never do . [ Applause .	Kennedy_August_21_1960	Nixon_August_2_1960
0413	disarmament	support	They want to go Eisenhower 's way - and that 's our way , and that 's the way we 're going . Now , the last point that I make is one that I make particularly because I know of the great concern the people in these university communities have for the cause of disarmament . People have often spoken to me - my friends who are Quakers , as I am , have written to me - and they have said ,  Mr .	 Our chief negotiator . This administration is liable on the whole series of grounds , Latin America , Africa , Asia , outer space , and here in the field of disarmament , which involves the security and peace of every person in and out of the State of Wisconsin , the head of our mission should say ,  We have given it very little time and attention .  [ Applause .	Nixon_October_27_1960	Kennedy_October_23_1960
0414	cuba	support	But in the case of both Africa and Latin America , the hour is late , the world is moving fast , our role and our position have changed , and I do think it is vitally important in those areas and in other areas that we precede events ; that we do not move after them . In other words , I do not like to see the United States offer assistance to Latin America as a result of difficulties in Cuba . I would like to see us offer the hand of friendship to Latin America because of a traditional conviction that the United States can not maintain its freedom unless Latin America is a strong and viable and growing hemisphere .	They feel we were correct , I think , the majority of them , in acting as we did with regard to the sugar , the taking away of special consideration that we had with regard to sugar . They thought that was justified in view of the Cuban Government 's expropriation of much of our property , but I think our present course in Cuba has not lost us friends in Latin America . If anything , it has gained us friends .	Kennedy_September_23_1960	Nixon_September_21_1960
0415	minimum wage	attack	Mr. Nixon made a speech 3 weeks ago about what we need to do in housing , and he said in that speech the Housing Act of 1949 works very well , that is the basic housing act . Do you know he voted against it as a Congressman ? He leads a party that voted 90 percent against a 25-cent minimum wage in the midthirties and votes 90 percent against $ 1.25 in 1960 . He leads a party that voted 90 percent against social security in the midthirties and voted 90 percent against the medical care for the aged tied to social security .	The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve . In 1960 , this administration sought to extend minimum wage coverage to 3.1 million additional workers and indicated support of an increase in the minimum wage to $ 1.15 per hour .	Kennedy_October_28_1960	Nixon_October_19_1960
0416	medical care,health care	no_relation	His figures are wholly fictitious . But how can anyone figure the cost of the Republican platform ? How much have they cost the taxpayer for the dams and highways that cost more now than they did when they should have been built ? How can you measure the cost of increased juvenile delinquency bred in the slums they refuse to clean up ? How can you measure the cost to their families of the medical care aged persons are denied ? How can you measure the cost every consumer bears in high interest rates - or the cost of an abandoned farms - or the cost of illness caused by polluted water ? How much more are emergency programs in foreign aid costing us because we did not long ago take the steps we should have taken before a crisis was reached in the Middle East , in Latin America or in Africa ? And how do you measure the cost to a country whose security is in danger of being nibbled away by brush-fire wars too limited to justify the use of the massive retaliation our defense budgets have forced us to rely upon ? I do not call that economy . The Republican Party is one of waste - the waste of our human resources and the waste of our natural resources .	Thomas Jefferson has often made the point that the greatest guarantee of freedom is to diffuse power and that we must not have concentration of power in an all-powerful Federal Government , and it is because we believe that any kind of program that would put immense power in the Federal Government over our school system is something that Americans should reject , not because of the amount of money that is being spent , but because this kind of power is something which , in the wrong hands , would be something that all Americans would be against . Let me give you one other example in the program of medical care for the aged . We all want better health care for our older citizens .	Kennedy_October_4_1960	Nixon_October_3_1960
0418	cuba	attack	These people will feel they have no chance , and then , of course , they will listen to Castros . So I would suggest that the United States try to develop again the spirit of the good neighbor policy of Franklin Roosevelt , that we regard this as the first line of defense , that we bring in students , that we broadcast in Spanish to Cuba and all of Latin America , that we tell our story , that we help them distribute their agricultural products and resources , and maintain their economy and provide a gradual increase in the standard of living for each person . This is the key to Latin America .	[ Cheers and applause . ] And then , three , we have the lesson in Cuba , here again the President , with great statesmanship , saying he will contain Mr. Castro ; we will contain him economically and politically , Senator Kennedy saying  No '  ; we 've got to go further , and then shooting from the hip , advocating direct Government intervention , in effect , and it was interpreted that way all over the free world , in the affairs of Cuba . What would that have done ? It would have decimated the people of that island .	Kennedy_November_7_1960	Nixon_November_5_1960
0419	minimum wage	no_relation	The administration 's position is in between . We would extend coverage to approximately 3 million not presently covered , and the coverage which we would extend is to those particular businesses which operate interstate and which have larger gross incomes and , therefore , businesses that we think could , therefore , pay the minimum wage , not resulting in unemployment , which might result if such businesses covered by the broader coverage of the Kennedy bill were brought under the minimum wage . I think the administration bill is the proper approach , and within the Senate at the present time , where the legislation currently is lodged , I am pressing for adoption of the administration bill .	They are equally entitled to share in economic progress . The fiscal burden of an inadequate minimum wage law lies upon the community , and thus upon every taxpayer . In New York City , 44 percent of the families to whom relief is extended include those who are wage earners but whose incomes are inadequate .	Nixon_August_13_1960	Kennedy_August_10_1960
0421	unemployment	attack	He knows it , the economy is moving up . He knows that unemployment went down more than seasonally last month and employment went up more than seasonally , and you know a funny thing ? In that same Detroit paper that I saw was an eight-column head  Kennedy Predicts Recession .  You know what an eight-column head right underneath it was ?  Auto Sales at an Alltime High in America .	[ Applause . ] Since this campaign began , I have spoken in areas of heavy and prolonged unemployment in at least a dozen States . And I can tell you that those of you who live in this area are not alone in having thousands of citizens who want to work , who are able to work , but who have gone for months and even years without finding work .	Nixon_October_28_1960	Kennedy_October_28_1960
0422	minimum wage	attack	The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve . In 1960 , this administration sought to extend minimum wage coverage to 3.1 million additional workers and indicated support of an increase in the minimum wage to $ 1.15 per hour .	 [ Applause . ] When a political party votes , in 1935 , 98 percent against the 25-cent minimum wage , I know what the party stands for ; and when that same political party in 1960 votes in the House of Representatives 85 percent against $ 1.25 minimum wage in 1960 , I know the Republican Party stands where it has always stood-against ; not for , but against . Mr. Nixon leads a party which regards $ 1.25 minimum wage as extreme , which regards medical care for the aged tied to social security as extreme .	Nixon_October_19_1960	Kennedy_October_15_1960
0423	disarmament	no_relation	We hurt it , because - why is America the guardian of peace today ? Because we 're the strongest nation in the world , and the difference is : We do n't want to use our strength for anything except to keep the peace . We do n't want anything from anybody else , but remember this : The moment the men in the Kremlin ever have more strength than we have , the moment we ever enter into a disarmament agreement , which would not have ironclad inspection , in which they would gain strength against us , we find that the enemies of peace then , the men in the Kremlin , are in a position where they can do what they want , and that is : They would use their strength to start war . They would use it because their aim is to conquer the world .	We had no position and we adopted that of the British . Our negotiators had to leave Geneva during the Conference itself to come to Washington to find out what our position was , and again we failed to prepare for disarmament . Throughout the consistent history of indifference and failure the arms race has continued to mount .	Nixon_October_25_1960	Kennedy_October_23_1960
0424	disarmament	support	We must take advantage of these new technological discoveries , and we must move forward also because the Soviet is moving forward , and we must never let this gap , which presently exists between their strength and ours , a gap in our favor , be narrowed . As a matter of fact , we must increase it , increase it until the time comes when we can have real disarmament with inspection - and more about that later . In addition to this , of course , we need intelligence activities , and I want to talk very frankly about intelligence tonight , because this is a matter that has been discussed during this campaign , as you will recall , in our debates .	It involves the lives and security of us all . I believe that we should set up an arms research institute - a peace institute - in the National Government , which will work as hard on the subject of disarmament , work as hard on the subject of peace , as our Defense Establishment does to protect us . We need to be strong , but we also need to be working toward peace .	Nixon_November_3_1960	Kennedy_November_2_1960
0425	disarmament	no_relation	In other words , disarmament without inspection increases the risk of war . It 's only disarmament with inspection that will reduce the risk of war . So , I pledge to you that , with my colleague , Cabot Lodge , to whom I am going to give special assignments in this field , we will take the initiative at every opportunity to deal with Mr. Khrushchev and to work out whatever arrangement we can that will provide inspection for disarmament , for tests , for all these other items which I am discussing tonight .	[ Laughter . ] As long as 35 percent of our brightest boys and girls graduating from high school never get to college , as long as only the children of wealthy or reasonably wealthy parents can hope to get through medical school , as long as we are producing far less doctors for our population than we were before , as long as we are not developing our resources , rebuilding our cities , moving our economy ahead , as long as we are not giving the same effort to disarmament and nuclear controls that we are to arms and war , as long as science and technology and space and the earth are not being used to make men 's lives more secure , in my judgment we are not meeting our full potential , our full capacity . I come to this ancient city here in Philadelphia .	Nixon_November_3_1960	Kennedy_October_31_1960
0426	medical care,health care	attack	The question was , Am I for the Forand bill ? I introduced a companion bill to the Forand bill in the U.S. Senate . The Forand bill , of course , puts medical care for the aged under the social security system . We tried to pass a bill comparable to that during the last session of the Congress .	I believe that the most effective method is through a program which will provide a choice whereby people who want to have the protection for catastrophic illnesses or , for that matter , for noncatastrophic illnesses , if they so desire , can have it , but where they are not forced to have it if they do not desire , and where they can choose getting that protection through government or through private plans , which they might choose , with some government assistance . And I would agree with Senator Kennedy , incidentally , to this extent : he indicated that this would be an issue in the campaign , I think it will be an issue in the campaign , and the question will not be one of ends , because both of us believe that there should he protection for our older citizens for medical care . The question will be one of means .	Kennedy_September_7_1960	Nixon_August_24_1960
0428	unemployment	no_relation	In 1939 , when war came in Europe , unemployment in America , after 6 futile years of their trying to solve it , stood just under 9 ½ million . Let 's face it : It took war to solve the unemployment riddle for them . After the war was over opposition spokesmen forecast some 6 million unemployed .	Fourth , we will extend and apply practical programs to ease the lot of persons caught up in the steel crisis . Those forced to rely on unemployment insurance should receive more adequate benefits for a more adequate period . Those forced to rely on surplus food packages should receive a more balanced , nourishing diet .	Nixon_October_19_1960	Kennedy_October_9_1960
0431	disarmament	attack	We must take advantage of these new technological discoveries , and we must move forward also because the Soviet is moving forward , and we must never let this gap , which presently exists between their strength and ours , a gap in our favor , be narrowed . As a matter of fact , we must increase it , increase it until the time comes when we can have real disarmament with inspection - and more about that later . In addition to this , of course , we need intelligence activities , and I want to talk very frankly about intelligence tonight , because this is a matter that has been discussed during this campaign , as you will recall , in our debates .	We have never adopted a comprehensive and meaningful position , and we have too often resorted instead to irresponsible grandstand plays . I have proposed a national peace agency , an arms control research institute , to prepare those studies necessary for a firm and precise policy , to make certain our spokesmen are better prepared and better staffed at future conferences , to enable us to seize the disarmament initiative . For I know we can do better .	Nixon_November_3_1960	Kennedy_November_2_1960
0432	unemployment	no_relation	He knows it , the economy is moving up . He knows that unemployment went down more than seasonally last month and employment went up more than seasonally , and you know a funny thing ? In that same Detroit paper that I saw was an eight-column head  Kennedy Predicts Recession .  You know what an eight-column head right underneath it was ?  Auto Sales at an Alltime High in America .	The unconcern of the Republican candidate about all this is not surprising . Last May he said  Unless unemployment goes over 4.5 million , it does n't become a significant issue in the minds of a great many people .  In June , he said ,  I recognize that in a free economy you ca n't have full employment .	Nixon_October_28_1960	Kennedy_October_28_1960
0433	cuba	no_relation	Now , how does our opponent compare in this field ? All I can say is this : On three great issues - the Formosa Straits , the President 's conduct at the summit conference , when he refused to apologize to Khrushchev , as he should have refused to apologize to him --- [ Cheers and applause . ] And then on Cuba - Senator Kennedy has said one thing , President Eisenhower has said another - President Eisenhower has been right , Senator Kennedy has been wrong - and the American people know it . [ Cheers and applause .	[ Laughter . ] First , he wanted to discuss just Cuba , and we said ,  Well , we thought we ought to discuss some other subjects .  Then he wanted the vice presidential candidates in there , and I said that was fine .	Nixon_October_29_1960	Kennedy_October_29_1960
0435	minimum wage	support	Meanwhile , the contradictory statements of Senator Kennedy still leave him opposed to this position . The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve .	Those who are too poor , uninformed , too uneducated to enjoy their constitutional freedoms of choice , do not really possess those freedoms . That is why we fight so hard for minimum wage legislation , for better housing , for social security protection in illness in old age . In order to participate in the other great freedoms we have to have a standard of living for our people so that they can enjoy them .	Nixon_October_19_1960	Kennedy_October_12_1960
0436	minimum wage	attack	Those are who are paid a substandard wage . In the midthirties , 90 percent of the Republican Party voted against a 25-cent minimum wage . This summer , as your Congressman can tell you , in the House of Representatives , 90 percent of the Republicans voted against a minimum wage of $ 1.25 an hour , $ 50 a week for a 40-hour week , for a business that makes more than a million dollars a year , and Mr. Nixon called it extreme .	The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve . In 1960 , this administration sought to extend minimum wage coverage to 3.1 million additional workers and indicated support of an increase in the minimum wage to $ 1.15 per hour .	Kennedy_October_27_1960	Nixon_October_19_1960
0437	medical care,health care	no_relation	I 'm proud of that record , and we have a program that will produce greater progress and greater prosperity on those issues for America in the future , I can assure you . But may I say it would n't be enough to rest our case there because , you know , you can have the best jobs , the best social security , the best medical care that we can possibly imagine , and it is n't going to make any difference if we 're not around to enjoy it . And , so , I say peace without surrender , the extension of freedom , this is the great issue .	My answer to that is that it is extremely difficult , if not impossible , to put through any program , particularly if the program is controversial and new , if the opposing party uses all of the parliamentary devices that are available to Members of the House and Senate , and if we are opposed by the President of the United States . Now , in the case of medical care for the aged , as I said in my statement , being tied to social security , which I thought was extremely important , as you know in the Senate we secured the support of only one Republican , and we were informed by the minority leader , Mr. Dirksen , when the matter came to a vote , that if we passed social security , it would be vetoed by the President . In the case of the $ 1.25 minimum wage , which was my bill , which we did pass in the Senate by a vote of 2 to 1 , we failed in the conference with the House , after Mr. Dirksen , the minority leader , announced that the President of the United States would veto any bill that had $ 1.25 minimum wage .	Nixon_September_12_1960	Kennedy_September_3_1960
0438	minimum wage	attack	I wonder if he is going to be smiling November 9 ? [ Response from the audience . ] The fact of the matter is , as Congressman Flood knows , that the party that voted 90 percent against the $ 1.25 minimum wage voted 90 percent in the midthirties against 25 cents . The party that voted against medical care for the aged , 90 percent in 1960 , voted 90 percent against the social security in the midthirties .	The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve . In 1960 , this administration sought to extend minimum wage coverage to 3.1 million additional workers and indicated support of an increase in the minimum wage to $ 1.15 per hour .	Kennedy_October_28_1960	Nixon_October_19_1960
0441	disarmament	support	People have often spoken to me - my friends who are Quakers , as I am , have written to me - and they have said ,  Mr . Nixon , why does n't the United States show a more flexible attitude ? Why do n't we take the first step toward disarmament ?  Let me tell you what we have done . We have not only taken one step ; we have not only taken two steps , but we have gone the second mile , the third mile , way down the line on disarmament .	Fourth , while we are working to dismantle the engines of destruction we must work out methods of protecting ourselves against the growing danger of accidental war , through sure methods of informing ourselves about suspicious events or accidental firings so that neither nation can make a mistake which will trigger nuclear destruction . Fifth - And most important , the fight for disarmament must command the personal attention and concern of the President of the United States . Our defense and six disarmament experts are concentrated in many important agencies of Government - in the State Department , the Defense Department , the AEC and others .	Nixon_October_27_1960	Kennedy_October_23_1960
0442	disarmament	attack	Whenever that balance changes , whenever the Soviet Union gains strength as against our strength , war 's danger increases , because they are wanting to use their strength not as we are , for peace , but to conquer the world . So , anytime we make a disarmament agreement which does not have inspection , under which they might increase their strength as against ours , it increases the risk of war . That 's why I say that we stand for peace when we say , as President Eisenhower says : Yes , we will go to Geneva and discuss disarmament and stopping tests ; yes , we will go to the summit and discuss disarmament and stopping tests .	We did not come up with a single major new proposal in the field of arms control , and we cared so little about it that we regarded the entire effort as merely a part of our effort in psychological warfare . At the London Conference of 1957 , the first important disarmament Conference held in the fifties , and the one which came closest of any in reaching an agreement on disarmament , we sent a man who had not been active in the field , Harold Stassen , we sent him to a meeting without formulating an American position . Mr. Stassen was never able to get clear instructions at the meeting as to what our position was .	Nixon_October_27_1960	Kennedy_October_23_1960
0443	cuba	no_relation	We can not be committed by a party of the past . We can not wait for Mr. Khrushchev 's words , for the Communists are not satisfied with their gains of the last months , with their lead in missiles and space , and their foothold in Cuba , and half of Indochina , and their new influence in Laos and Africa and Asia . They will keep on driving and expanding and gaining without regard to all the kitchen debates and without regard to what goes on in the United Nations unless we have a President and a country in the 1960 's that acts first and acts fast .	And I am speaking now of the United Nations , of the Organization of American States - Oh , you know , a lot of people say to me sometimes ,  Why do we worry about these organizations like this ? We 're strong enough . Why do n't we move into the Congo as Khrushchev did , unilaterally ? Why do n't we go into Cuba unilaterally , on our own , instead of working through all the rest of the American States as we have ?  And the answer is this : The United States can not and must not do this because if we are going to have real peace and real security in the world , we must have other free nations and other peace-loving nations working with us , rather than against us . And we must set an ideal - an ideal which they will follow - an ideal that we will work with these organizations to see that things that otherwise would be settled on the battlefield , are settled at the conference table .	Kennedy_September_20_1960	Nixon_September_16_1960
0444	unemployment	attack	Five times they have ignored the President 's recommendations and , instead , they have passed two pork-barrel bills of their own , each in an election year , 1958 and 1960 , and each so full of politics they were obviously nothing but veto-bait . The 1960 bill supported by my opponent was so bad , for example , that relatively little help would have gone to the areas of chronic unemployment really needing it . This politically inspired , opportunistic bill would have frittered away much of its assistance on places bearing no resemblance to our few truly distressed areas .	He can not run on a platform setting one State against another . I want full employment in California and New York and across the Nation ; it is Mr. Nixon who calls unemployment inevitable . ( 4 ) Civil rights are not merely of importance to minority groups .	Nixon_November_1_1960	Kennedy_November_1_1960
0445	minimum wage	attack	We are going to have , by the middle of November , 1 million unsold cars , the highest inventory of unsold cars in the history of the United States . Now , anyone who believes that under those conditions we should continue that kind of leadership , that supports leadership that twice , not once , but twice vetoed the area redevelopment bill , sponsored by your Congressman , Dan Flood , and your Senator , Joe Clark - anyone that believes that a minimum wage of $ 1.25 is extreme , Mr. Nixon is your man . But anyone who believes as I do that this country will never be strong in the world , that we will never be successful in turning Mr. Khrushchev back , we will never be successful in expanding freedom around the world unless we have in this country a strong and vital and progressive society , and that is what we are committed to , that is what we are committed to , and I believe the American people on November 8 , faced with a choice of a leadership that looks to the past and the present , and recognizing that this country , the only hope of freedom that there is , we are the only sentinel at the gate , and if we do n't move ahead , if we do n't provide employment for our people , if we do n't use our facilities to the fullest , if we do n't educate our children and provide under social security medical care for our aged and jobs for those in between , then the United States , instead of being the leader of the free world , will cease to count as the only hope of freedom .	Meanwhile , the contradictory statements of Senator Kennedy still leave him opposed to this position . The misstatement : In the second debate Senator Kennedy said : The Republicans in recent years , not only in the last 25 years , but in the last 8 years , have opposed * * * minimum wage * * The facts : Senator Kennedy is saying that Republicans who opposed his particular bill are against minimum wage . The administration supported an increase in the minimum wage in 1955 , and in 1957 urged legislation to extend minimum wage coverage to some 3 million additional workers , an extension which the Democratic-led Congress failed to approve .	Kennedy_October_28_1960	Nixon_October_19_1960
0447	cuba	attack	He has had an opportunity to study the long-range needs of each area - to recommend new policies for the administration - and to see that those recommendations are properly carried out . What has been the result ? Today , in six key areas around the world , we are reacting too late to a cold war crisis where the cause of freedom is in serious trouble ; in Cuba , where Communists openly plot the disruption of hemispheric security - in Ghana , whose President was assailed by Mr. Herter last week as  very definitely leaning toward the Soviet bloc  - in Japan , where the anti-American demonstrations have already been mentioned - in the area once known as Indochina , where the tiny nation of Laos is struggling to keep its head above a Communist tide - in Poland , where the once hopeful cracks in the Iron Curtain seem to be gradually disappearing - and in India , where the one nation capable of surpassing China for the economic leadership of the Asian continent is meeting one setback after another . These six areas are far apart in their geography , their history , their devotion to freedom and the kind of threat their situations now pose .	I realize that line is subject to criticism , because we have a very difficult situation ; but to those who do criticize what we are doing my answer , of course , is : What is the alternative ? There are those who say ,  Why do n't we send Marines to Cuba ?  We could do it and we could give it to Mr. Castro in 24 hours , but getting rid of Castro in Cuba would not get rid of Castroism in Cuba or in Latin America and it would set in motion , in my opinion , a chain reaction of opposition to the United States through the other Latin American countries , which could be very , very detrimental to our foreign policy . That 's why I think the United States , with its great power , has to continue to treat Cuba , as it has , with consideration , always patient , working with our other friends in Latin America , to be sure that they will support our position toward Castro and toward his close association with communism in Cuba . I would add one other thing : I think that Mr. Castro 's very close identification with Mr. Khrushchev at the U.N. will not help him in Cuba .	Kennedy_September_29_1960	Nixon_September_21_1960
0448	medical care,health care	attack	We want to give to our people . Certainly we want them to have the opportunity to have this protection but we do n't want to reduce the standard of medical care . So how do wo do it ? We set up a State - Federal program .	We have 16 million Americans over the age of 65 who live on an average social security check of less than $ 78 a month . How are they going to get by and find homes , shelter , and medical care ? These are the problems that the United States must face . I am delighted to discuss any problems that anyone wants to raise in this campaign , but I want to turn Mr. Nixon 's attention not only to the coast of China but to the United States and New Jersey and the problems it faces and our people face .	Nixon_October_17_1960	Kennedy_October_16_1960
0450	unemployment	attack	He knows it , the economy is moving up . He knows that unemployment went down more than seasonally last month and employment went up more than seasonally , and you know a funny thing ? In that same Detroit paper that I saw was an eight-column head  Kennedy Predicts Recession .  You know what an eight-column head right underneath it was ?  Auto Sales at an Alltime High in America .	Steel is at barely half capacity , homebuilding at two-thirds . Unemployment has been at recession levels for months , and the hours of work and take-home pay of factory workers has fallen . I am sure that the people of Scranton and of Pennsylvania do not want to trust their economic future to a political party which now threatens its third recession in just 6 years .	Nixon_October_28_1960	Kennedy_October_28_1960
0451	minimum wage	no_relation	[ Applause . ] As there are 15 million Americans in the richest country on earth who live in substandard housing , as long as there are 5 million homes in the cities of the United States that lack plumbing of any kind , as long as there are nearly 15 million Americans who are not covered by the minimum wage of even a dollar , as long as the average wage for laundry women in five large cities of this country is 65 cents an hour for a 48-hour week , as long as there are over 100,000 people in the State of West Virginia alone who wait every month for a food package from the U.S. Government , which includes some grain , some rice , and this summer they are going to add lard - and when the President of the United States was asked about it at his news conference in May , he said ,  We distributed $ 5 million in West Virginia last year .  Five million dollars of surplus food to keep more than 100,000 people going for an entire year .	The administration 's position is in between . We would extend coverage to approximately 3 million not presently covered , and the coverage which we would extend is to those particular businesses which operate interstate and which have larger gross incomes and , therefore , businesses that we think could , therefore , pay the minimum wage , not resulting in unemployment , which might result if such businesses covered by the broader coverage of the Kennedy bill were brought under the minimum wage . I think the administration bill is the proper approach , and within the Senate at the present time , where the legislation currently is lodged , I am pressing for adoption of the administration bill .	Kennedy_September_8_1960	Nixon_August_13_1960
